index,book_id,bookname,title,publisher,publish_date,ISDN,ctfile_sn,ctfile_url,download_url,file_size,downloaded,size_bit,real_size,size_delta,size_delta_ratio
0,1,,Illustrator绘图设计的达人教室 ISBN号 9861992280 下载地址.txt,,,0,402712-199257598,https://webapi.ctfile.com/getfile.php?path=file&f=402712-199257598&passcode=2021&token=false&r=0.5250498664290375&ref=,https://176-ctc-dd.tv002.com/down/601ff29fe036fa4a37c78fc5d908eef8/Illustrator%E7%BB%98%E5%9B%BE%E8%AE%BE%E8%AE%A1%E7%9A%84%E8%BE%BE%E4%BA%BA%E6%95%99%E5%AE%A4%20ISBN%E5%8F%B7%209861992280%20%E4%B8%8B%E8%BD%BD%E5%9C%B0%E5%9D%80.txt?cts=dx-f-D1A34A144A110F9f72a&ctp=1A34A144A110&ctt=1619201435&limit=1&spd=35000&ctk=601ff29fe036fa4a37c78fc5d908eef8&chk=c194e26245264750f19c6f2126413272-292&mtd=1,292.00 B,1,292.0,292.0,0.0,0.0
1,2,,,,,0,,,,0,0,,,,
2,3,,风光摄影进行时 强大内在 下载地址.txt,,,0,402712-199275256,https://webapi.ctfile.com/getfile.php?path=file&f=402712-199275256&passcode=2021&token=false&r=0.20966285054560985&ref=,https://176-ctc-dd.tv002.com/down/3e8f41f49561b5de718562f2bedb8769/%E9%A3%8E%E5%85%89%E6%91%84%E5%BD%B1%E8%BF%9B%E8%A1%8C%E6%97%B6%20%E5%BC%BA%E5%A4%A7%E5%86%85%E5%9C%A8%20%E4%B8%8B%E8%BD%BD%E5%9C%B0%E5%9D%80.txt?cts=dx-f-D1A34A144A110Faa017&ctp=1A34A144A110&ctt=1619201436&limit=1&spd=35000&ctk=3e8f41f49561b5de718562f2bedb8769&chk=924d9d6b496565ed456af8a61aac4a65-292&mtd=1,292.00 B,1,292.0,292.0,0.0,0.0
3,4,,黑面的人像摄影攻略 .黑面.扫描版 下载地址.txt,,,0,402712-201700128,https://webapi.ctfile.com/getfile.php?path=file&f=402712-201700128&passcode=2021&token=false&r=0.1755505932212541&ref=,https://176-ctc-dd.tv002.com/down/00243d5055fe50abc5b355c7e003ffbe/%E9%BB%91%E9%9D%A2%E7%9A%84%E4%BA%BA%E5%83%8F%E6%91%84%E5%BD%B1%E6%94%BB%E7%95%A5%20.%E9%BB%91%E9%9D%A2.%E6%89%AB%E6%8F%8F%E7%89%88%20%E4%B8%8B%E8%BD%BD%E5%9C%B0%E5%9D%80.txt?cts=dx-f-D1A34A144A110Fdd656&ctp=1A34A144A110&ctt=1619201436&limit=1&spd=35000&ctk=00243d5055fe50abc5b355c7e003ffbe&chk=eb75af17651b19c411999c050f887bb5-292&mtd=1,292.00 B,1,292.0,292.0,0.0,0.0
4,5,,《开餐馆的滋味 我的套路和打法(2)》扫描版[PDF] 下载地址.txt,,,0,402712-201742165,https://webapi.ctfile.com/getfile.php?path=file&f=402712-201742165&passcode=2021&token=false&r=0.3939235445555168&ref=,https://176-ctc-dd.tv002.com/down/cd28f0419bb6b8dfef77068e27d5c518/%E3%80%8A%E5%BC%80%E9%A4%90%E9%A6%86%E7%9A%84%E6%BB%8B%E5%91%B3%20%E6%88%91%E7%9A%84%E5%A5%97%E8%B7%AF%E5%92%8C%E6%89%93%E6%B3%95%282%29%E3%80%8B%E6%89%AB%E6%8F%8F%E7%89%88%5BPDF%5D%20%E4%B8%8B%E8%BD%BD%E5%9C%B0%E5%9D%80.txt?cts=dx-f-D1A34A144A110Fac805&ctp=1A34A144A110&ctt=1619201437&limit=1&spd=35000&ctk=cd28f0419bb6b8dfef77068e27d5c518&chk=c5f7882904beb238e66d9802f2bed6ab-292&mtd=1,292.00 B,1,292.0,292.0,0.0,0.0
5,6,,《开家赚钱的店 一个市场总监指导店铺成功创业笔记》扫描版[PDF] 下载地址.txt,,,0,402712-201762711,https://webapi.ctfile.com/getfile.php?path=file&f=402712-201762711&passcode=2021&token=false&r=0.9323699207580831&ref=,https://176-ctc-dd.tv002.com/down/7c35d777901acea1907e3fd437dfd950/%E3%80%8A%E5%BC%80%E5%AE%B6%E8%B5%9A%E9%92%B1%E7%9A%84%E5%BA%97%20%E4%B8%80%E4%B8%AA%E5%B8%82%E5%9C%BA%E6%80%BB%E7%9B%91%E6%8C%87%E5%AF%BC%E5%BA%97%E9%93%BA%E6%88%90%E5%8A%9F%E5%88%9B%E4%B8%9A%E7%AC%94%E8%AE%B0%E3%80%8B%E6%89%AB%E6%8F%8F%E7%89%88%5BPDF%5D%20%E4%B8%8B%E8%BD%BD%E5%9C%B0%E5%9D%80.txt?cts=dx-f-D1A34A144A110F0163c&ctp=1A34A144A110&ctt=1619201438&limit=1&spd=35000&ctk=7c35d777901acea1907e3fd437dfd950&chk=5e5d10420946ded05b04ab7ee5dc681c-292&mtd=1,292.00 B,1,292.0,292.0,0.0,0.0
6,7,,《麦当劳教你开快餐店》扫描版[PDF] 下载地址.txt,,,0,402712-201844565,https://webapi.ctfile.com/getfile.php?path=file&f=402712-201844565&passcode=2021&token=false&r=0.3016905147206308&ref=,https://176-ctc-dd.tv002.com/down/35b80ef277da51b87e85e2a04f4fe25f/%E3%80%8A%E9%BA%A6%E5%BD%93%E5%8A%B3%E6%95%99%E4%BD%A0%E5%BC%80%E5%BF%AB%E9%A4%90%E5%BA%97%E3%80%8B%E6%89%AB%E6%8F%8F%E7%89%88%5BPDF%5D%20%E4%B8%8B%E8%BD%BD%E5%9C%B0%E5%9D%80.txt?cts=dx-f-D1A34A144A110Fe4125&ctp=1A34A144A110&ctt=1619201439&limit=1&spd=35000&ctk=35b80ef277da51b87e85e2a04f4fe25f&chk=17273b47b01fb8d0b6cb715f4eed5de3-292&mtd=1,292.00 B,1,292.0,292.0,0.0,0.0
7,8,,《矛盾思考法  世界500强创新思维与决策技巧 》扫描版[PDF]  下载地址.txt,,,0,402712-201854717,https://webapi.ctfile.com/getfile.php?path=file&f=402712-201854717&passcode=2021&token=false&r=0.28565178374196365&ref=,https://176-ctc-dd.tv002.com/down/6f00bee7fcee7d2ced345703cced1950/%E3%80%8A%E7%9F%9B%E7%9B%BE%E6%80%9D%E8%80%83%E6%B3%95%20%20%E4%B8%96%E7%95%8C500%E5%BC%BA%E5%88%9B%E6%96%B0%E6%80%9D%E7%BB%B4%E4%B8%8E%E5%86%B3%E7%AD%96%E6%8A%80%E5%B7%A7%20%E3%80%8B%E6%89%AB%E6%8F%8F%E7%89%88%5BPDF%5D%20%20%E4%B8%8B%E8%BD%BD%E5%9C%B0%E5%9D%80.txt?cts=dx-f-D1A34A144A110Fc12af&ctp=1A34A144A110&ctt=1619201440&limit=1&spd=35000&ctk=6f00bee7fcee7d2ced345703cced1950&chk=c4bd76205d5463096375c0dbde06938f-292&mtd=1,292.00 B,1,292.0,292.0,0.0,0.0
8,9,,《逆龄养颜术 我最想要的美肌能量书》(Middle Age Beauty)扫描版[PDF]  下载地址.txt,,,0,402712-201866621,https://webapi.ctfile.com/getfile.php?path=file&f=402712-201866621&passcode=2021&token=false&r=0.8255943114873043&ref=,https://176-ctc-dd.tv002.com/down/b8280292de07d56dea2e42262192eabd/%E3%80%8A%E9%80%86%E9%BE%84%E5%85%BB%E9%A2%9C%E6%9C%AF%20%E6%88%91%E6%9C%80%E6%83%B3%E8%A6%81%E7%9A%84%E7%BE%8E%E8%82%8C%E8%83%BD%E9%87%8F%E4%B9%A6%E3%80%8B%28Middle%20Age%20Beauty%29%E6%89%AB%E6%8F%8F%E7%89%88%5BPDF%5D%20%20%E4%B8%8B%E8%BD%BD%E5%9C%B0%E5%9D%80.txt?cts=dx-f-D1A34A144A110F9f251&ctp=1A34A144A110&ctt=1619201440&limit=1&spd=35000&ctk=b8280292de07d56dea2e42262192eabd&chk=fd717740e9be21bcf5d38157789c646d-291&mtd=1,291.00 B,1,291.0,291.0,0.0,0.0
9,11,,《店铺货品管理必备手册-进货.铺货.售货.退货》扫描版[PDF]  下载地址.txt,,,0,402712-202146294,https://webapi.ctfile.com/getfile.php?path=file&f=402712-202146294&passcode=2021&token=false&r=0.9249901418404711&ref=,https://176-ctc-dd.tv002.com/down/7e6da3a6a947d2adac989a9a8af2a006/%E3%80%8A%E5%BA%97%E9%93%BA%E8%B4%A7%E5%93%81%E7%AE%A1%E7%90%86%E5%BF%85%E5%A4%87%E6%89%8B%E5%86%8C-%E8%BF%9B%E8%B4%A7.%E9%93%BA%E8%B4%A7.%E5%94%AE%E8%B4%A7.%E9%80%80%E8%B4%A7%E3%80%8B%E6%89%AB%E6%8F%8F%E7%89%88%5BPDF%5D%20%20%E4%B8%8B%E8%BD%BD%E5%9C%B0%E5%9D%80.txt?cts=dx-f-D1A34A144A110Fa98da&ctp=1A34A144A110&ctt=1619201442&limit=1&spd=35000&ctk=7e6da3a6a947d2adac989a9a8af2a006&chk=cf051f2e12c12668b64a096e5e8097f6-292&mtd=1,292.00 B,1,292.0,292.0,0.0,0.0
